Image Index,Model,Attribution Method,Layer,Metric,Upscale Method,Value
-1,VGG11,_GradCAMPlusPlus,features.15,roc_auc,ERFUpsamplingFast,0.43628660548061726
-1,VGG11,_GradCAMPlusPlus,features.15,roc_auc,ERFUpsampling,0.67751793904654
-1,VGG11,_DeepLiftShap,features.15,roc_auc,ERFUpsamplingFast,0.41825986457695385
-1,VGG11,_DeepLiftShap,features.15,roc_auc,ERFUpsampling,0.7284990221580419
-1,VGG11,_GradCAMPlusPlus,features.16,roc_auc,ERFUpsamplingFast,0.4916128100559067
-1,VGG11,_GradCAMPlusPlus,features.16,roc_auc,ERFUpsampling,0.49435956125983543
-1,VGG11,_DeepLiftShap,features.16,roc_auc,ERFUpsamplingFast,0.4410698750138053
-1,VGG11,_DeepLiftShap,features.16,roc_auc,ERFUpsampling,0.6004065900403613
-1,VGG11,_GradCAMPlusPlus,features.17,roc_auc,ERFUpsamplingFast,0.5263501260490218
-1,VGG11,_GradCAMPlusPlus,features.17,roc_auc,ERFUpsampling,0.6161845771981613
-1,VGG11,_DeepLiftShap,features.17,roc_auc,ERFUpsamplingFast,0.4937782824079134
-1,VGG11,_DeepLiftShap,features.17,roc_auc,ERFUpsampling,0.6134590508320577
-1,VGG11,_GradCAMPlusPlus,features.18,roc_auc,ERFUpsamplingFast,0.640353161494649
-1,VGG11,_GradCAMPlusPlus,features.18,roc_auc,ERFUpsampling,0.6535804749065389
-1,VGG11,_DeepLiftShap,features.18,roc_auc,ERFUpsamplingFast,0.3138938265306723
-1,VGG11,_DeepLiftShap,features.18,roc_auc,ERFUpsampling,0.43198005789542265
-1,VGG11,_GradCAMPlusPlus,features.19,roc_auc,ERFUpsamplingFast,0.718071436968706
-1,VGG11,_GradCAMPlusPlus,features.19,roc_auc,ERFUpsampling,0.723032801606118
-1,VGG11,_DeepLiftShap,features.19,roc_auc,ERFUpsamplingFast,0.7125049852975942
-1,VGG11,_DeepLiftShap,features.19,roc_auc,ERFUpsampling,0.46306296038265016
-1,VGG11,_GradCAMPlusPlus,features.20,roc_auc,ERFUpsamplingFast,0.7407259900577718
-1,VGG11,_GradCAMPlusPlus,features.20,roc_auc,ERFUpsampling,0.73302315184473
-1,VGG11,_DeepLiftShap,features.20,roc_auc,ERFUpsamplingFast,0.7224283798050597
-1,VGG11,_DeepLiftShap,features.20,roc_auc,ERFUpsampling,0.5908508693554417
